####################
## BD Rhapsody Sequence Analysis Pipeline Version 2.0rc1
## Analysis Date - Sat May 27 2023 17:22:38 GMT+0000 (Coordinated Universal Time)
## Libraries - 16HIRP - Bead version detected: Enhanced
## References - BD_Rhapsody_Immune_Response_Panel_Hs.fasta
## Parameters - Sample Tag Version: None | Sample Tag Names:  | VDJ Version: None | Putative Cell Calling Type: mRNA | Refined Putative Cell Calling: On | Exclude Intronic Reads: Off | Generate Bam: Off | Exact Cell Count: None | Expected Cell Count: None
####################
Bioproduct,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Reads_non-singleton,RSEC_Adjusted_Molecules_non-singleton,RSEC_Adjusted_Seq_Depth,DBEC_Adjusted_Reads,DBEC_Adjusted_Molecules,DBEC_Minimum_Depth,DBEC_Adjusted_Seq_Depth,DBEC_Depth_Status
ADA,93655,9347,10.02,7960,92797,7102,11.77,88958,5995,5.341304673561277,14.84,pass
ADGRE1,61341,6316,9.71,5412,61022,5093,11.33,59138,4474,4.924780705661989,13.22,pass
ADGRG3,693,82,8.45,68,686,61,10.19,637,48,5.879813171777814,13.27,pass
AIM2,4474,570,7.85,522,4362,410,8.57,4109,316,4.997131845951166,13.0,pass
ALAS2,5695,471,12.09,391,5675,371,14.57,5558,343,5.791048182228515,16.2,pass
ANXA5,331363,63460,5.22,59275,323500,51412,5.59,263792,31409,4.358500951910568,8.4,pass
AOC3,10,3,3.33,3,10,3,3.33,10,3,0,3.33,low_depth
APOBEC3G,112698,12758,8.83,11262,111961,10525,10.01,106719,8822,4.78666660755408,12.1,pass
APOE,0,0,0,0,0,0,0,0,0,0,0,not_detected
AQP9,129469,12619,10.26,10948,128854,10333,11.83,123092,8725,5.741656577759074,14.11,pass
ARG1,62,8,7.75,7,62,7,8.86,62,7,0,8.86,pass
ARL4C,290635,27698,10.49,24050,289263,22678,12.08,276585,19112,5.4335920939565385,14.47,pass
ATF6B,3057,1918,1.59,1905,1555,403,1.6,3057,1905,0,1.6,low_depth
AURKB,8922,861,10.36,742,8848,668,12.02,8674,607,4.977177216554049,14.29,pass
