Cell_Index,Cell_Type_Experimental
65,Monocyte_classical
392,Monocyte_classical
791,Monocyte_nonclassical
827,Monocyte_classical
1156,Monocyte_classical
1163,Monocyte_classical
1947,T_CD8_memory
2316,Monocyte_classical
2393,T_CD4_naive
2743,Monocyte_classical
2771,Monocyte_classical
3086,T_CD4_memory
3094,T_CD8_memory
3134,Monocyte_classical
3538,Monocyte_classical
3878,Monocyte_classical
4235,T_CD4_memory
4248,T_CD4_naive
4251,Monocyte_classical
4264,T_CD8_memory
4660,Monocyte_classical
5012,Monocyte_classical
5065,Monocyte_classical
5082,T_CD8_naive
5468,Monocyte_classical
5766,B
5785,T_CD8_naive
5817,Natural_killer
5855,T_CD4_naive
6231,Monocyte_classical
6562,T_CD4_memory
6971,T_CD8_memory
7703,Monocyte_classical
8109,Natural_killer
8129,B
8456,T_gamma_delta
8478,T_CD8_naive
8897,Dendritic
9281,Monocyte_classical
9641,T_CD8_naive
10067,Monocyte_classical
10404,B
10442,B
10835,Monocyte_classical
10843,Monocyte_classical
11148,T_CD8_memory
11174,Monocyte_classical
11544,T_CD8_memory
11554,Monocyte_nonclassical
11571,T_CD4_memory
12299,Monocyte_classical
12325,T_CD4_memory
12684,T_CD8_memory
12716,Monocyte_classical
13528,T_CD8_naive
13847,Monocyte_nonclassical
13876,Natural_killer
13886,T_CD8_naive
13888,T_CD8_memory
13901,T_CD8_naive
14644,T_CD4_memory
14659,T_CD8_memory
14660,Monocyte_classical
14686,T_CD8_memory
14982,Monocyte_classical
15372,Monocyte_classical
16194,T_CD4_naive
16196,Monocyte_classical
16223,T_CD8_memory
16577,T_CD8_naive
16906,Monocyte_classical
17312,B
17325,T_CD8_memory
17679,T_CD8_memory
17738,T_CD8_memory
17740,T_CD8_memory
17748,T_CD8_memory
18100,Monocyte_classical
18444,Monocyte_classical
18515,T_CD4_memory
18518,Monocyte_classical
18523,T_CD8_memory
18859,Monocyte_classical
18864,T_CD8_naive
19213,Natural_killer
19220,T_CD8_naive
19244,Monocyte_classical
19274,Monocyte_classical
19283,Monocyte_classical
19593,Monocyte_classical
19617,B
19640,Monocyte_classical
19975,T_CD4_memory
20018,T_CD4_memory
20358,Monocyte_classical
20416,T_CD8_naive
20429,T_CD8_memory
20745,Monocyte_classical
21143,T_CD8_memory
21216,T_CD4_memory
21512,T_CD8_naive
21559,Natural_killer
21896,T_CD8_memory
21919,Monocyte_classical
21974,Monocyte_classical
22288,T_CD4_memory
22339,Monocyte_classical
22368,T_CD4_naive
22715,Monocyte_classical
22737,Monocyte_classical
23097,Monocyte_classical
23435,T_CD4_memory
23446,Monocyte_classical
23495,T_CD4_memory
23511,T_CD8_naive
23855,T_CD4_memory
24202,T_CD8_naive
24226,Monocyte_classical
24599,T_CD4_memory
24611,Monocyte_classical
24965,Monocyte_classical
24966,Monocyte_classical
25346,Monocyte_classical
25419,T_CD8_memory
25730,Monocyte_nonclassical
25741,Monocyte_classical
25748,Monocyte_classical
25760,Monocyte_classical
26117,T_CD4_memory
26137,Monocyte_classical
26157,T_CD8_memory
26526,T_CD4_naive
26546,Monocyte_classical
26899,Monocyte_classical
26933,T_CD8_memory
26940,T_CD8_memory
26966,B
27313,Monocyte_classical
27316,T_CD4_memory
27357,T_CD4_memory
27713,Monocyte_classical
27720,Monocyte_nonclassical
28074,B
28100,T_CD8_naive
28434,Monocyte_classical
28444,Monocyte_classical
28460,Monocyte_classical
28860,T_CD4_memory
28881,Monocyte_classical
28895,T_CD8_naive
29238,Natural_killer
29256,Monocyte_classical
29597,Monocyte_classical
29629,T_gamma_delta
29635,Monocyte_classical
29648,T_CD4_memory
30008,Monocyte_classical
30014,Monocyte_classical
30015,Monocyte_classical
30043,Monocyte_classical
30382,T_CD4_memory
30777,T_CD8_memory
30796,T_CD8_naive
31118,T_CD8_memory
31192,Monocyte_nonclassical
31495,Monocyte_classical
31509,T_CD4_memory
31525,Monocyte_classical
31534,T_CD4_memory
31541,Monocyte_classical
32266,T_CD4_memory
32284,T_CD4_memory
32350,Monocyte_classical
32642,Monocyte_nonclassical
32674,T_CD8_memory
33073,T_CD4_memory
33862,Monocyte_classical
34226,T_CD4_memory
34588,Monocyte_classical
34592,Monocyte_classical
34625,T_CD8_memory
35422,T_CD4_memory
35716,T_CD4_memory
35748,T_CD8_naive
35749,Monocyte_classical
35771,Monocyte_classical
35788,Natural_killer
36097,Monocyte_classical
36114,T_CD4_memory
36163,B
36496,Monocyte_classical
36501,T_CD8_naive
36506,T_CD8_naive
147855,T_CD8_memory
149053,Monocyte_classical
149056,T_CD4_memory
149064,Monocyte_classical
149389,Monocyte_classical
149406,Monocyte_classical
149778,T_CD8_memory
149781,T_CD8_memory
149815,B
149856,T_CD4_memory
150224,T_CD8_naive
150530,Monocyte_classical
150550,Monocyte_classical
150568,T_CD8_naive
150586,T_CD4_memory
150997,T_CD8_memory
151343,T_CD4_memory
