Cell_Index,tSNE_1,tSNE_2
65,-21.47224,1.45822
392,-19.01344,2.38231
791,0.84757,-1.86788
827,-28.82901,0.81531
1156,-11.75485,-6.21576
1163,-8.34909,-5.88512
1947,15.53003,2.68277
2316,-5.15598,-4.57180
2393,31.99949,-18.41693
2743,-29.62238,6.25701
2771,-33.60489,12.41151
3086,30.63012,-15.18556
3094,12.07776,18.09509
3134,-15.59382,-8.75389
3538,-16.38433,2.87867
3878,-23.05489,5.80307
4235,36.46645,-11.21013
4248,18.12792,15.81086
4251,-15.39066,-4.65180
4264,27.88005,5.16777
4660,-29.97033,3.29171
5012,-21.96794,-0.12714
5065,-29.46570,-4.51588
5082,17.04925,-19.21963
5468,-14.58373,-2.32081
5766,3.68509,10.82866
5785,10.08809,18.55101
5817,7.87937,36.60318
5855,29.58969,-18.41393
6231,-18.37975,4.10311
6562,29.69833,-13.13434
6971,14.19359,8.30419
7703,-33.73666,7.59947
8109,7.06953,27.67681
8129,-1.36592,-34.71172
8456,12.42238,23.87171
8478,9.75587,14.24802
8897,-8.45113,-13.76665
9281,-25.07924,-4.14680
9641,10.21415,16.66934
10067,-20.21026,-14.54759
10404,4.86926,-36.14279
10442,2.01912,-37.53382
10835,-12.90094,-11.75739
10843,-11.28213,-4.12244
11148,17.93376,-6.54804
11174,-10.23570,-5.70475
11544,14.66586,16.10823
11554,1.55173,-2.29869
11571,29.41090,-16.17694
12299,-35.88829,2.01742
12325,20.40470,-0.67827
12684,11.83469,8.92227
12716,-16.19246,0.32249
13528,13.71604,-15.95088
13847,0.23218,-3.80490
13876,6.28341,27.76932
13886,14.73392,-17.81113
13888,13.04006,13.91984
13901,8.83009,16.60023
14644,31.26411,-7.65258
14659,11.28589,15.72376
14660,-25.20869,5.89593
14686,17.38317,1.10690
14982,-25.72182,-5.48296
15372,-25.16526,14.72378
16194,16.44924,18.72311
16196,-19.52427,4.21887
16223,18.65490,-0.62257
16577,9.52772,11.91184
16906,-20.39242,-3.65191
17312,2.47775,-38.32375
17325,23.20926,9.01928
17679,7.91893,11.20480
17738,20.31511,7.63506
17740,13.25660,10.08023
17748,17.30224,0.86770
18100,-26.94419,1.27264
18444,-28.00681,8.78610
18515,17.38515,19.37169
18518,-23.46728,11.61322
18523,19.53354,6.79393
18859,-20.49467,1.31969
18864,11.93302,24.53486
19213,3.61674,27.52713
19220,16.06733,-18.11016
19244,-20.89422,-3.20819
19274,-31.64743,7.90511
19283,-16.82193,-0.26545
19593,-31.51156,12.07550
19617,-3.18551,-32.88393
19640,-16.59164,1.70927
19975,36.43661,-10.79112
20018,33.26825,-13.70244
20358,-12.24331,-5.38233
20416,14.79447,7.34394
20429,16.76411,1.40775
20745,-24.71629,2.00003
21143,17.03091,-0.67616
21216,28.57335,-4.09922
21512,13.74523,4.62206
21559,5.16889,28.33589
21896,16.93457,1.33164
21919,-5.05849,14.91726
21974,-31.88657,3.07364
22288,31.57687,-10.35035
22339,-31.72957,15.71307
22368,29.29007,-17.42942
22715,-11.21941,-7.77132
22737,-14.53443,-6.85147
23097,-12.39068,-6.85530
23435,30.76081,-11.86641
23446,-20.74390,2.19177
23495,32.16781,-11.12206
23511,14.06096,-16.71620
23855,34.90081,-13.93604
24202,17.76359,-16.75713
24226,-26.07840,11.79483
24599,27.73960,-1.84376
24611,-12.18122,-0.51623
24965,-33.73186,-1.60921
24966,-23.72556,4.29121
25346,-10.65422,-1.96385
25419,21.44687,-12.10446
25730,1.73755,-3.12769
25741,-18.38508,7.36750
25748,-4.45784,16.12415
25760,-14.23782,-2.90512
26117,29.44320,-4.96009
26137,-31.28107,5.84035
26157,11.48044,12.68983
26526,29.04716,-16.54842
26546,-5.31454,14.47136
26899,-21.24405,-6.90737
26933,15.15993,4.40818
26940,17.59343,-2.04436
26966,5.14889,-36.33137
27313,-30.93948,12.28227
27316,20.99281,17.09655
27357,19.67602,-0.58373
27713,-9.38983,-14.20168
27720,1.35136,-2.76824
28074,-0.61611,-29.55277
28100,25.47509,8.98927
28434,-29.39670,3.56442
28444,-17.81248,3.06953
28460,-17.31410,5.72748
28860,19.21490,18.15579
28881,-11.81540,-4.65328
28895,16.25182,-15.55906
29238,11.56291,25.59529
29256,-20.33118,9.30265
29597,-4.93490,14.45365
29629,25.50400,8.48076
29635,-11.64837,-10.50249
29648,29.70895,-4.78996
30008,-5.70862,-7.28941
30014,-34.26219,4.06994
30015,-30.26397,-0.61576
30043,-6.17099,14.25744
30382,33.48780,-9.88964
30777,27.96672,5.04235
30796,18.49201,-18.28784
31118,28.43045,5.01075
31192,0.04947,-3.37465
31495,-20.36914,0.24901
31509,20.14916,0.51985
31525,-31.35810,2.91062
31534,27.77701,-18.66961
31541,-15.42578,-5.10370
32266,19.69288,19.47680
32284,34.54896,-13.12071
32350,-24.66030,13.35895
32642,0.78632,-2.09345
32674,13.52530,11.21877
33073,17.75016,19.58093
33862,-15.67886,3.37492
34226,29.41751,-4.50022
34588,-24.36411,-4.17125
34592,-34.92213,3.76299
34625,14.59653,11.54929
35422,28.81970,-14.30755
35716,28.19248,-9.77661
35748,20.21849,-12.81960
35749,-31.11759,10.72093
35771,-17.76585,8.88445
35788,4.49507,34.55398
36097,-29.93696,2.71902
36114,30.68765,-9.42157
36163,0.61007,-36.58709
36496,-16.41591,4.81461
36501,16.38558,-16.27324
36506,15.78764,-17.71541
147855,15.23747,1.07820
149053,-21.89295,5.12192
149056,29.90718,-6.53444
149064,-27.02281,-0.81322
149389,-7.73406,-7.33564
149406,-25.42226,12.79522
149778,21.05103,-11.75343
149781,14.54700,6.65946
149815,-1.64509,-34.97179
149856,31.24551,-16.02461
150224,12.25474,13.89445
150530,-27.73780,3.05158
150550,-21.91613,7.42470
150568,15.35681,-16.76621
150586,33.76049,-16.33698
150997,13.50117,6.57154
151343,31.33200,-9.71103
151367,-23.45152,-4.78842
151759,-29.48342,12.59268
152079,2.53821,-37.94011
152091,31.76951,-17.04765
152107,-31.92620,-2.41519
152452,4.81782,-36.61810
152472,-0.54907,-3.10418
152536,-27.28509,5.92294
152881,-8.73491,-8.18956
153601,-22.75247,3.81073
153625,-33.92182,5.92921
153636,-20.00789,-0.68944
153683,4.58641,27.47687
153689,-9.53072,-6.70488
154016,5.64262,35.23023
154376,-0.75617,-29.85678
154415,30.37225,-16.20312
154422,1.82353,-3.52736
154757,20.07493,19.26236
154766,4.27417,27.44111
154824,32.63431,-17.16159
154840,4.90708,26.81667
155161,14.12103,-16.28160
155201,2.68379,-38.70872
155213,-32.09132,1.04978
155560,-21.00549,6.67443
155920,25.10143,-8.67390
155939,-29.74290,-0.14904
155973,-16.18726,1.77519
156699,-11.78301,-8.27038
157478,8.33423,16.57980
157872,36.14080,-13.23891
157882,30.04263,-17.41484
157894,-11.78864,-5.25837
157895,-9.41060,-6.38824
157902,10.23003,13.69910
157908,-27.65715,8.91292
158212,15.11111,6.93289
158220,34.01538,-10.95722
158243,-15.01075,-10.60126
158634,-15.79808,2.57851
158661,29.02138,-12.46079
158687,-14.96168,4.61398
159018,13.44951,8.25974
159452,-23.95298,5.02347
159768,6.77089,28.91703
159828,-16.34843,2.49936
159839,14.32734,-16.56861
160143,-5.72202,-6.68129
160201,2.01215,-37.30505
160516,-14.20775,-5.41690
160557,-1.71260,-3.39599
160593,17.22871,1.67875
